Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Metals and Mining,59.2,14.7,4.69,-0.4,1.1,0
Automobiles,0.2,1.3,0.21,-4.6,15.9,1
Chemicals,48.9,7.8,0.35,-8.5,17.1,0
Chemicals,11.2,2.1,0.12,6.2,4.8,1
Chemicals,31.5,0.8,4.66,24.7,8,1
Automobiles,41,3.5,0.42,2.6,15,0
Energy,68.4,0.5,3,0.6,-4,0
Automobiles,19.4,14.5,0.68,18.5,2.9,1
Financial Services,59,6.1,4.89,2,15,0
Consumer Services,12,4.5,2.22,15.6,27,1
Financial Services,29.8,4.3,0.46,23.4,0.9,1
Chemicals,66.1,12.8,3.58,8.8,3.3,0
Energy,80.6,12,0.12,12.1,26,0
Information Technology,89.1,12.4,4.16,34.5,0.8,0
Banking,21.4,14,4.63,2.3,2.7,0
Automobiles,7.1,10.9,4.68,20,-2.5,0
Real Estate,76.3,8.8,2.71,12.6,6.6,0
Telecommunications,44.1,10.5,2.94,35.4,3.8,0
Textiles,4.7,13.9,1.88,6.2,17.7,0
Consumer Goods,90.9,6.1,3.06,33.8,15.7,0
Metals and Mining,70.9,10.7,2.18,4.3,12.9,0
Automobiles,89,14.6,4.88,11.9,23.3,0
Infrastructure,34.3,6.4,1.2,5.9,-3.3,0
Information Technology,19.6,2.3,4.12,16.9,17.3,1
Banking,46.1,2.7,1.44,23.2,29,1
Textiles,65,2.2,2.74,18.6,3.4,0
Financial Services,83.2,2.5,2.37,13.8,29.2,0
Banking,62.5,5.2,1.45,15.7,24.4,1
Real Estate,24.3,10.3,3.8,9.7,13.3,0
Telecommunications,15,1.4,4.85,11.1,19.4,1
Pharmaceuticals,27.3,13.6,0.66,24,0.4,1
Infrastructure,63.9,2.6,4.25,8.5,13.5,0
Textiles,17,3.2,4.83,-1.9,-1.6,0
Metals and Mining,9,13.3,0.13,37.2,8.3,1
Infrastructure,1.6,13.4,3.24,33.1,21.6,1
Financial Services,48.9,14.6,1.85,8,7.5,0
Metals and Mining,73.2,0.8,4.4,4.1,8.9,0
Financial Services,26.8,5.1,1.09,38.9,4.4,1
Chemicals,44.8,3.6,3.13,38,8.6,0
Consumer Goods,5.6,22.7,2.48,34.7,7.2,0
Energy,82.3,13.7,0.97,22.8,26.5,1
Textiles,82.7,10,0.54,0.2,-2,0
Chemicals,21.8,6.4,4.98,-9.6,7,0
Information Technology,21.1,6.2,1.94,21.1,26.5,1
Energy,67.7,8.8,5.41,28.6,23.7,0
Financial Services,51.7,13.6,0.83,-9.8,7.4,0
Chemicals,61.4,10.2,3.58,-9.1,17.9,0
Metals and Mining,76.7,7.9,1.52,10.3,17.2,0
Consumer Goods,56.4,6,1.3,-2,29.1,0
Consumer Services,53.4,1.2,2.92,-1.4,3.8,0
Information Technology,56.3,11.9,0.88,-5.2,9.1,0
Textiles,54,5.9,3.13,29.6,17.3,0
Banking,21.8,14.5,3.81,33.7,14.2,0
Information Technology,64.6,2.3,1.02,1.6,18,0
Metals and Mining,14,9.1,1.4,27.5,13.8,1
Real Estate,28,13.3,2.69,32,17.6,0
Consumer Goods,84.3,6,0.68,11.6,11.5,0
Banking,27.2,5.2,5.9,23.4,7.2,0
Energy,20.7,9,5.14,39.7,15.1,1
Chemicals,39.7,4.3,2.63,29.9,4.3,1
Consumer Services,20.1,14.9,2.59,-7.2,0.8,0
Consumer Goods,89.9,18.5,3.01,38.2,34.8,0
Infrastructure,79.2,1.6,1.37,32.4,1,1
Chemicals,33.2,4.7,0.45,23.2,27.7,1
Automobiles,83.3,8.6,3.08,21.8,0.6,0
Banking,85.8,0,1.98,18.6,8.1,1
Information Technology,72.7,14.6,0.3,19.3,-4.5,0
Information Technology,77.9,0.6,4.34,7.6,-4.4,0
Metals and Mining,22.6,9.4,4.01,16.5,-0.2,0
Real Estate,2.6,12.5,3.31,31.6,14.6,1
Financial Services,45.9,9.9,0.38,39.1,26.3,1
Metals and Mining,29.9,5.4,1.55,15.8,10.8,0
Consumer Goods,1,8.8,1.46,-5.7,26.9,1
Consumer Goods,51.5,12.6,3.85,27.5,8.1,0
Consumer Services,59.3,1,2.41,-1.6,16.3,0
Energy,9,0.9,5.83,7.6,20.3,1
Pharmaceuticals,27.1,3.2,0.13,15.1,-1.2,1
Pharmaceuticals,55.7,8.9,1.39,5.6,25.5,0
Financial Services,40,7.9,2.42,-6.8,23.6,0
Pharmaceuticals,67,5.7,0.61,10.3,26.1,0
Pharmaceuticals,66.9,6.8,4.81,-3.1,29.3,0
Infrastructure,37.8,10.1,2.34,12.1,24.1,0
Metals and Mining,87.4,7,1.42,8.9,-1.5,0
Pharmaceuticals,14.2,12.9,1.25,11.5,21.7,0
Consumer Services,56.4,4.1,4.5,38.2,-4.6,0
Financial Services,28.6,12.9,3.15,12.1,13.9,0
Pharmaceuticals,75,6.4,4.69,23,6.1,0
Real Estate,43.9,14.7,3.35,16.1,11.8,0
Energy,69,12.4,3.6,10.4,15.6,0
Metals and Mining,56.1,10.7,3.08,34.9,14.3,0
Information Technology,9.1,6,1.93,41,9.1,0
Infrastructure,75.8,8.6,2.17,28.5,9.5,0
Infrastructure,53.8,10.8,0.55,34.5,11.3,1
Chemicals,72.3,13.4,0.41,6.3,-3.9,0
Banking,68,12.9,0.13,25.3,8,1
Consumer Goods,94.4,16.3,3.36,28.8,-1.4,0
Financial Services,29.2,7.1,1.84,3.3,21.3,0
Pharmaceuticals,31.8,3.1,3.76,32,22.2,1
Consumer Services,77.5,10.5,1.58,0.8,10.3,0
Information Technology,42.7,5.7,2.07,-0.5,22,0
Energy,71.3,14.1,3.67,-9.7,24.5,0
Infrastructure,78.5,9.5,4.9,26.6,16.1,0
Energy,0.3,0.4,4.54,33.1,-4.8,1
Automobiles,63.5,6.3,4.5,24.8,9.9,0
Real Estate,76.7,2.4,5.42,-6.9,27.1,0
Information Technology,68,0.5,2.12,13,10.4,0
Automobiles,46.3,8.7,2.5,4.2,27.2,0
Textiles,65,12,0.27,12.4,19.5,1
Consumer Services,86.1,0.4,1.98,-7.8,-1.5,0
Consumer Goods,89,4.6,3.78,-0.5,23.5,0
Textiles,1.4,4,4.71,13.9,22.1,1
Energy,29.9,10.8,0.79,11.2,1.2,0
Consumer Goods,77.3,18.2,3.93,19,16.1,0
Energy,80.3,4.4,1.57,32.6,6.9,0
Metals and Mining,35.2,4.4,0.09,-7.3,19.6,0
Consumer Services,71.8,3.7,1.54,-7.4,2.7,0
Pharmaceuticals,59.2,4.3,1.21,31,1.2,0
Infrastructure,23.7,13.9,3.45,26.2,29.9,1
Textiles,54.7,4.3,0.71,24.1,13.7,1
Information Technology,20.4,10.5,0.67,-9.6,23.4,1
Metals and Mining,33.8,7.6,4.91,25,20.3,0
Telecommunications,30,13.5,5.86,33.6,25.8,1
Infrastructure,58.9,1.5,3.24,37.5,29.9,1
Consumer Goods,60.2,8.6,1.23,8.7,34.3,0
Consumer Services,32.8,2.3,3.55,36.6,2.9,0
Information Technology,0.5,4.5,4.28,38.1,28,1
Information Technology,55.8,1,3.14,30.5,17.5,1
Chemicals,45.1,8.3,1.57,24.8,8.4,0
Metals and Mining,68.5,1.4,4.38,33.9,25.5,1
Automobiles,67.2,13.6,3.98,20.5,-3.1,0
Telecommunications,89.5,6.5,0.62,37.5,13.3,1
Financial Services,2.6,7.8,3.82,36.7,16.3,1
Chemicals,12.6,6.8,4.49,4.6,-0.8,0
Textiles,33.3,1,3.92,36.7,23.7,1
Infrastructure,82.2,2.5,4.05,16.8,29,1
Telecommunications,96.9,7.3,3.91,10.4,-3.4,0
Textiles,55.2,13,4.36,10.4,2.8,0
Consumer Goods,23.5,14.8,1.97,0.8,12,0
Textiles,14.2,7.1,2,34.5,0.5,0
Energy,18.4,4.8,2.69,30.5,26.4,1
Chemicals,26.8,0.7,0,25,12.7,1
Banking,51.6,5.4,5.13,-8.1,-2.1,0
Financial Services,4.2,4.7,3.37,7.2,-3.5,0
Textiles,43.5,3.1,2.53,0.5,10,0
Metals and Mining,87.1,11.6,0.66,17,8.7,0
Banking,17.6,8,3.25,20.4,23.6,1
Consumer Goods,44.8,19.2,0.61,10.7,34.3,1
Information Technology,78,3,0.82,1.2,35.9,1
Real Estate,81.5,5.9,5.47,20.4,25.8,0
Banking,24.9,6,3.81,5.8,-4.1,0
Energy,25.9,3.8,1.38,33.8,6.9,1
Real Estate,13.4,1.8,4.84,15.6,14.8,1
Automobiles,66.7,7.7,0.76,18.4,7.8,0
Consumer Goods,90,12.7,3.9,23.4,1.4,0
Pharmaceuticals,71.7,5.4,2.06,-3.4,-2.7,0
Telecommunications,23.8,0.6,4.25,14.3,28.8,1
Energy,87.1,8.9,4.79,36.8,11.3,0
Chemicals,15.2,7.5,2.35,31.1,16.1,1
Consumer Services,65.6,13.5,0.23,-2.2,16.3,0
Banking,17.5,13.9,3.85,30.9,-2.3,0
Financial Services,59.5,0.7,0.62,-4.8,19.2,1
Textiles,30.1,14.1,1.76,35.7,18.3,0
Infrastructure,86.6,4.7,3.9,21.4,22.7,0
Consumer Services,38.7,14.4,4.83,26.7,-0.4,0
Pharmaceuticals,79.2,11.4,0.71,-0.8,9.8,0
Pharmaceuticals,44.8,12.3,3.37,20.3,22.8,0
Infrastructure,62.8,12.8,1.16,24.3,9.4,1
Banking,17.7,2.3,0.93,27.2,6.7,1
Chemicals,28.6,0.6,0.24,-1.6,18.4,1
Automobiles,81.6,0.3,1.31,33.7,20,1
Banking,25.1,7.3,1.02,7.5,-2.4,0
Energy,44.3,8,0.29,24.4,11.2,1
Consumer Services,28.4,2.5,4.03,39.2,7.7,0
Automobiles,29.8,7.4,3.37,34.4,18.6,0
Pharmaceuticals,11.6,13,1.52,19.1,8.7,0
Consumer Services,48,6.7,2.6,38.6,2.3,0
Pharmaceuticals,16.8,11.9,0.44,-4.6,8.6,0
Information Technology,20.3,12.8,1.6,38.1,28.6,1
Banking,39.9,2.6,1.72,27,-1.6,1
Energy,9.8,5.6,0.2,14.4,26.5,1
Pharmaceuticals,35.8,5.6,3.18,-5.6,15.8,0
Consumer Goods,60.8,21.3,0.68,10.7,12.2,0
Pharmaceuticals,63.2,0.8,1.14,-3.6,7,0
Information Technology,85.2,13.7,1.27,-8.9,23.2,0
Automobiles,45.5,0.9,3.44,-7,28.4,0
Pharmaceuticals,2.3,13.9,2.96,10,7.9,0
Consumer Services,66.7,6.7,3.12,-6.7,18,0
Telecommunications,49.5,14.8,0.38,-5.1,29.2,0
Financial Services,44.1,1.3,4.31,21.2,16.2,1
Automobiles,82.5,5.6,1.67,8.5,20.1,0
Textiles,43.3,1.1,2.23,25.8,13.5,1
Financial Services,4.2,6.5,3.24,36.3,25.2,1
Metals and Mining,6.6,0.8,2.34,36.6,14.4,1
Metals and Mining,46.1,6.5,4.88,-9.3,-1.7,0
Real Estate,81.2,5.4,2.09,-5.9,25.2,0
Textiles,46.2,5.9,0.92,15.9,29.3,1
Financial Services,44.5,14.1,4.24,26.6,2.9,0
Banking,74.6,7.4,2.45,25.5,-3.7,0
Consumer Services,25.2,3.5,1.46,26.2,29,1
Metals and Mining,8.6,13.9,1.35,24,14.4,1
Financial Services,21.1,2.4,3.53,23.1,29.8,1
Consumer Goods,49,7.5,1.41,29.3,-4.7,0
Energy,46.1,14.2,3.01,17.3,11.2,0
Pharmaceuticals,40,1.6,3.03,31.4,21.9,1
Pharmaceuticals,43,11,1.31,12.6,14.9,0
Information Technology,60.2,0.1,0.87,31.1,25.3,1
Telecommunications,92.5,2.9,5.28,-3.4,27.7,0
Textiles,89.5,10.1,3.04,-6.9,6.1,0
Pharmaceuticals,10.5,0.2,4.9,29.5,1.7,1
Consumer Services,58.1,5.9,3.38,22.7,25.9,0
Energy,23.6,4.3,0.94,39,9.6,1
Consumer Goods,27.3,4.4,1.95,11.2,10.8,0
Energy,47.6,3.9,4.25,24.8,5.5,0
Energy,30.9,14,0.86,-3.5,14.8,0
Banking,21.5,11.2,3.69,-1.6,28.2,0
Financial Services,79.6,8.6,1.32,0.7,8.8,0
Banking,2.4,7.4,0.71,13.6,20.7,1
Textiles,68.9,9.8,4.01,30.6,2,0
Information Technology,15.3,9.3,3.15,-4.6,9.5,0
Banking,72.8,10.8,5.31,7.6,26.5,0
Automobiles,57.7,8.6,4.53,11.6,21.1,0
Banking,88,7.7,0.89,21.6,11.7,1
Banking,88.5,9.8,2.88,31.6,5.3,0
Automobiles,77.2,11.3,2.5,15.1,27.8,0
Energy,57.6,8.2,2.95,33.8,4.8,0
Textiles,7.5,11.2,4.03,39.3,23.2,1
Pharmaceuticals,57.6,10.2,0.36,29.3,2.5,0
Chemicals,64.4,8.3,4.64,1.4,1.5,0
Pharmaceuticals,0.5,9.9,1.71,-5.4,11.6,0
Banking,23.8,4.4,2.7,26.7,11.7,0
Automobiles,3.8,7.7,2.73,27,14.1,1
Pharmaceuticals,80.8,6.7,1.74,39.2,23,0
Energy,49.6,10.2,5.52,25.6,11.8,0
Textiles,60.5,11.7,2.16,8.1,25.9,0
Metals and Mining,81.4,7.6,3.36,15.5,21.2,0
Banking,69.9,0.4,4.31,32.8,27.8,1
Chemicals,36.5,3.1,1.85,-2.4,4,0
Pharmaceuticals,22.8,3.1,2.2,24.9,26,1
Banking,52.2,2.2,0.7,26.3,3.7,1
Real Estate,11.1,5.6,0.14,38.1,-4.4,1
Automobiles,65.9,1.5,3.41,29.1,21,1
Pharmaceuticals,64.1,12.7,2.68,7.7,0.2,0
Banking,3.9,7.7,1.42,9.8,15.6,1
Real Estate,18.6,13,1.79,-8.6,12.5,1
Energy,1.2,8.2,0.84,4.6,25.8,1
Telecommunications,2.2,9.1,2.02,32.9,29.4,1
Banking,90,0.8,1.31,33.2,2.4,1
Financial Services,71,8.5,0.24,23.5,18.3,1
Chemicals,42.1,12.1,4.05,-7.3,-4.8,0
Infrastructure,67.6,7.9,2.95,-8.5,9.4,0
Textiles,33.5,12.4,3.77,18.7,-4.8,0
Chemicals,45.9,12.2,3.95,3.2,3.5,0
Real Estate,5.5,13.8,1.38,33.1,-1.4,1
Telecommunications,77.7,6.3,5.57,26,2.1,0
Metals and Mining,49.7,0.9,0.93,-5,20.8,1
Textiles,49.8,4.5,4.32,18.1,17.6,0
Textiles,43.8,1.3,4.96,23.9,25.4,1
Information Technology,63.3,6.5,1.18,9.9,26.2,0
Chemicals,26.4,14.8,0.31,24.4,12.8,1
Real Estate,75.2,9.5,1.4,28.9,5.8,0
Energy,47.1,2.7,2.84,22.5,12,1
Consumer Services,48.2,9.6,3.26,21.8,21.8,0
Telecommunications,34.6,7.3,1.06,24.6,9.8,1
Banking,90,3.9,4.52,19,0.7,0
Textiles,5.4,13.5,0.66,37.2,-0.7,1
Infrastructure,66.1,7.4,3.91,30.2,-0.4,0
Financial Services,27.1,5.4,1.21,24.9,15,1
Financial Services,48.1,9.2,1.84,13.7,-2.5,0
Energy,72.8,13.3,5.19,18.6,10,0
Chemicals,57.8,1.1,3.36,25.6,3.3,0
Telecommunications,24.2,10.5,2.55,37.8,26.4,1
Banking,64.5,8,0.33,29.7,25.2,1
Metals and Mining,41.1,7.1,2.97,10,9.4,0
Metals and Mining,35.6,5.5,3.14,-2.7,26.4,0
Consumer Services,77.1,5.3,0.18,37.7,-4.5,0
Metals and Mining,22.4,7.1,2.44,5.2,9.4,0
Infrastructure,36.4,4.6,2.73,4.6,13.5,0
Consumer Services,0.8,2.7,3.57,20.2,-3.5,0
Automobiles,29.5,7.5,3.16,1,28.3,0
Metals and Mining,32.9,8.1,0.49,28.4,1,0
Financial Services,34.8,3.5,3.3,1.7,20.4,0
Metals and Mining,38.6,9.6,2.48,1.5,8.2,0
Information Technology,36.5,1.8,2.85,38.8,17.2,1
Consumer Services,70.3,1.2,4.66,-3.6,28.1,0
Energy,40.8,7.6,3.65,26.5,26.3,0
Energy,37.7,5.6,2.45,31,17.5,0
Telecommunications,86.5,12.6,3.77,-2.9,8.5,0
Energy,88,14,0.57,6.6,18.1,0
Automobiles,1.2,12.4,4.84,-5.6,1.1,0
Pharmaceuticals,84.9,12.3,3.08,3.6,26.6,0
Telecommunications,87.1,6.7,0.99,35.5,13.8,1
Consumer Services,42.2,2.1,1.95,37.9,-4.3,0
Consumer Services,81.2,5.3,0.56,32.2,-0.5,0
Consumer Services,46.5,5.7,3.23,26.9,2.9,0
Pharmaceuticals,7.9,13.6,2.78,2,16.1,0
Consumer Goods,59.6,8.9,2.57,17,10.4,0
Automobiles,11.9,0.9,1.41,10,23.9,1
Consumer Goods,20.8,3,4.29,19.7,35.5,1
Chemicals,52.3,3.7,4.07,15.4,15,0
Pharmaceuticals,23.8,12.9,1.16,14.7,1,0
Real Estate,22.8,15,2.72,13.1,7.8,0
Automobiles,2.2,0.3,0.03,9.4,29.6,1
Metals and Mining,75.1,5.3,4.4,21.7,-3.5,0
Metals and Mining,13.6,4.7,0.72,17.5,6.9,1
Consumer Services,1.5,6.7,1.38,37.9,-1.8,1
Financial Services,3.5,12.6,1.98,23.6,11.2,1
Information Technology,52.1,3.5,0.81,-4.9,22.4,1
Financial Services,68.1,6.4,1.07,23.2,19.9,1
Information Technology,8.8,4.3,3.78,38,-4.7,0
Consumer Goods,55.1,6.5,0.18,36.7,37.5,1
Real Estate,69.3,14.8,2.96,28,3.9,0
Metals and Mining,11.1,0.2,4.54,28.7,15.4,1
Information Technology,17.4,3.6,4.04,7.2,13.3,0
Energy,11.4,11.8,3.19,34.3,7.8,0
Financial Services,22.5,0.2,3.76,5.1,21.7,1
Chemicals,96.9,10.1,4.61,12.6,26.4,0
Chemicals,55.8,1.9,4.92,-7.4,10.1,0
Infrastructure,9.3,5.7,1.09,-1.9,22,1
Infrastructure,66.1,2.7,1.96,31.8,-4.8,0
Real Estate,17.4,7.3,4.8,13,26.2,1
Automobiles,72.5,7,3.77,31,-3.8,0
Banking,74.7,1.9,5.56,25.8,29.2,1
Automobiles,86.1,10.7,1.37,22,7.4,0
Automobiles,39.4,1.4,1.76,38.9,2.4,0
Consumer Services,85.5,9.6,1.49,-5.5,20.1,0
Automobiles,17.5,2.3,2.25,39.5,2.8,0
Metals and Mining,24.4,7.2,2.81,23.9,-2.1,0
Banking,37.9,1.6,0.89,2,12.3,1
Financial Services,27.9,10.7,0.31,38.9,-0.5,1
Metals and Mining,6.3,4.6,1.22,18.2,27.9,1
Consumer Services,1.1,7.5,3.89,-9.6,23.1,0
Textiles,89.7,0.7,2.3,5.4,15.8,0
Telecommunications,47.2,12.2,3.16,-3.2,-2.8,0
Telecommunications,43,10.3,3.46,-9.4,-2.2,0
Financial Services,32.4,6.1,3.29,6.5,18.7,0
Information Technology,12.8,2,4.77,0.5,15.3,1
Energy,60.9,14.6,5.28,8.8,24.5,0
Consumer Services,12.3,14.3,4.2,32.2,20.6,1
Metals and Mining,77,10.7,0.05,27.5,19.9,1
Textiles,41.9,8.5,4.46,15,10,0
Financial Services,19.8,6.7,3.98,38.5,-1.5,0
Automobiles,12.6,1.5,4.56,23,21.4,1
Financial Services,67.7,14.9,3.72,-0.5,21.9,0
Financial Services,60.6,12.8,0.68,15.2,13.1,0
Energy,28.9,14.4,5.13,-7.5,17.6,0
Textiles,87.4,5.5,4.16,8.8,23.6,0
Chemicals,53.4,3.9,3.14,38.9,17.4,1
Financial Services,81.1,3.9,0.44,32.1,-0.5,1
Real Estate,66.8,13.8,5.57,23.6,25.3,0
Pharmaceuticals,19.8,11.7,0.23,30.6,18.4,1
Metals and Mining,76.1,10.6,4.46,15.2,-4.3,0
Banking,76.7,12.9,3.51,28.8,9.7,0
Banking,26.8,0.5,2.56,11.8,18.7,0
Information Technology,49.8,9.6,2.32,9.4,25.7,0
Pharmaceuticals,25,10.5,0.77,-7.1,21.7,1
Consumer Services,56.4,7.5,2.32,7.5,-1,0
Textiles,14.9,8.5,2.26,30.2,13,1
Consumer Goods,97.1,0.4,3.45,-2.3,9.1,0
Consumer Goods,18.9,17.6,2.57,-8.1,35,0
Consumer Goods,7.8,2.8,3.46,35.7,6.9,1
Chemicals,64.9,6.7,2.54,22.2,2.2,0
Financial Services,7.3,7.8,0.59,35.7,8.1,1
Information Technology,49.3,8.1,3.14,22.4,-1,0
Energy,84.5,7.7,2.65,18.2,3.1,0
Chemicals,34.6,5,2.9,23.8,6.6,0
Metals and Mining,74.2,0,3.42,34.1,4.2,0
Telecommunications,88.7,8.5,4.19,6.4,8.1,0
Financial Services,5.7,8.2,3,-6.5,16.4,0
Banking,80.4,5.6,3.69,15.4,-2.4,0
Consumer Services,46,1.1,0.89,37.8,20.7,1
Metals and Mining,29.7,1.6,3.66,3.9,10.3,0
Textiles,26.7,9.8,3.52,39.1,19.5,0
Chemicals,0.9,0.4,1.45,20.9,-4,1
Telecommunications,28.5,10.3,1.08,13.3,6.2,0
Consumer Goods,1.3,19.1,2.84,26,36.8,1
Energy,85.8,5.1,1.49,1.1,24,0
Banking,2.3,5.5,3.37,25.4,5.3,1
Real Estate,48.8,2.4,2.06,26.8,0,0
Chemicals,10.6,12.8,4.23,35.3,7.5,0
Telecommunications,27.8,8.6,4.04,23.1,9.7,1
Automobiles,30.7,11.5,0.93,16.3,16,1
Financial Services,84.9,12,3.71,27.3,5.1,0
Banking,56.2,13.3,0.87,28.6,28.5,1
Infrastructure,54.6,0.9,0.55,10.2,-3.7,0
Telecommunications,2.6,5.2,0.21,23,8.3,1
Infrastructure,63.5,4.7,3.81,30.5,4.8,0
Information Technology,2.8,8,1.64,-0.1,3.1,0
Consumer Services,37.1,12.2,0.97,13.2,7.7,0
Consumer Services,51.7,12.3,0.86,1.1,7.9,0
Consumer Goods,78.3,3.1,2.57,44,35.1,1
Pharmaceuticals,51.5,14.7,3.49,14,1.8,0
Textiles,86.1,11.8,0.41,22,-4.9,0
Chemicals,0.4,12.9,4.08,-7.9,10.2,0
Financial Services,16.6,6.4,4.3,3.8,11.4,0
Financial Services,44.9,2.6,1.6,30.6,24.6,1
Energy,2.7,12.1,0.36,33,-0.8,1
Information Technology,14.9,10.4,0.22,42,15.7,1
Automobiles,54.2,13.2,0.24,2.1,-3.8,0
Energy,85,1.6,0.26,17,11.5,1
Financial Services,13.8,7.9,0.1,33.9,4.2,1
Financial Services,12.8,13.7,2.21,-9.6,1,0
Pharmaceuticals,27.3,5.9,3.23,2,17.6,0
Metals and Mining,18.6,9.9,0.22,3.9,5.3,0
Financial Services,4.7,7.7,1.09,16.9,24,1
Information Technology,39,3.4,4.6,39.9,28.8,1
Real Estate,84,9.2,5.1,36.3,16.1,0
Information Technology,54.2,10.4,3.25,9,5.2,0
Infrastructure,12.3,7.4,4.38,-8.6,9.5,0
Telecommunications,90.6,8.1,4.63,11.2,-3.7,0
Automobiles,54.4,10.3,3.29,21.1,21,0
Consumer Services,26,5.8,3.29,17,2.8,0
Infrastructure,23.7,12.6,4.22,26.4,2.4,0
Consumer Services,5.7,6,1.31,13.4,5.5,0
Chemicals,88.7,8.3,4.62,12.5,24.8,0
Consumer Goods,86.9,8.9,3.72,27.5,30.4,1
Automobiles,9.9,0.7,4.26,37.7,0.5,1
Real Estate,75.9,11.1,4.19,23.1,2.9,0
Textiles,45.2,4.5,1.08,16.7,5.6,0
Telecommunications,99.3,12.7,4.16,-9.4,-3.1,0
Metals and Mining,65.9,4.5,1.27,11.6,5.6,0
Consumer Goods,76.7,8.6,0.17,1.4,12.6,0
Textiles,66.2,14.4,1.51,24.7,26,0
Infrastructure,20.1,1.2,2.38,37.2,4.8,1
Chemicals,88.7,5.4,0.75,15.9,0.5,0
Consumer Services,6.8,0,2.19,1.9,27.2,1
Pharmaceuticals,69.5,3.3,2.98,4.9,18.3,0
Textiles,76.5,5.4,0.86,18,24.6,1
Metals and Mining,88.3,1.5,4.33,-5.2,10,0
Infrastructure,44.5,4.3,4.87,38.7,22.8,0
Textiles,13.9,7.2,0.67,-8.4,16.1,1
Banking,84.6,8.8,2.26,1.8,10.4,0
Information Technology,78,11.1,2.48,37.1,36.1,0
Information Technology,36.5,4.9,3.69,10.3,30.3,0
Consumer Services,82.2,12.6,2.23,37.6,4.1,0
Real Estate,75.4,10.8,5.99,-9.1,19.7,0
Automobiles,83.8,11.5,0.26,4.1,8.9,0
Metals and Mining,30.6,2.1,4.74,25.1,25,0
Banking,55.2,3.2,5.77,23.7,20.1,0
Chemicals,26.4,4.6,1.77,-9.8,22.4,1
Telecommunications,32.2,10.6,4.03,16,20.2,1
Telecommunications,47.4,10.7,4.72,5.7,2.5,0
Infrastructure,86.3,5.1,1.43,18.3,13.6,1
Energy,77.3,12.2,2.13,12,21,0
Consumer Goods,79,6.3,3.81,0.7,36.6,0
Consumer Goods,60.1,12.6,3.56,0.9,27.6,0
Consumer Services,13.4,10.1,3.34,5.8,28.5,0
Infrastructure,81.1,14,0.11,-9.1,6.8,0
Chemicals,10.3,12.1,4.99,39.4,29.1,1
Pharmaceuticals,1.5,13.3,4.31,-7.4,26.7,0
Consumer Goods,71.1,18.4,0.43,-6.4,-2.2,0
Automobiles,41.9,4.3,4.25,36.8,6.7,0
Financial Services,76,14.3,4.83,23.2,-1.6,0
Consumer Goods,8.7,13.1,1.23,23.7,18.6,0
Financial Services,89.4,10.9,4.14,28.7,2.8,0
Telecommunications,37.9,3.8,3.06,-8.4,5,0
Infrastructure,71.2,13.5,0.54,-7.8,11.3,0
Banking,2.1,12.8,2.81,21,9,1
Consumer Goods,27.5,6.8,0.72,5.2,11.5,1
Financial Services,11,10.6,3.23,38.5,13.2,1
Real Estate,40.1,4.7,0.62,15.9,26.5,1
Banking,82.8,4.3,1.26,17.2,1.3,1
Consumer Services,17.4,7.9,0.91,-3.9,11.1,1
Consumer Services,60,14.8,0.65,17.6,19.3,1
Consumer Goods,38.4,11,4.69,45.1,36.3,1
Energy,33,1.3,4.02,1.4,9.9,0
Telecommunications,22.8,1.3,0.89,8.3,19.4,1
Real Estate,14.4,12.9,1.43,38.5,1.1,1
Pharmaceuticals,65.6,6.6,1.96,-8.8,-4.1,0
Telecommunications,71.6,10,1.26,-5.4,-3.4,0
Consumer Services,18.8,0.9,1.32,30.9,0.3,1
Telecommunications,9.6,13.2,1.9,12.8,16.8,1
Banking,57.5,3.2,1.7,15.9,-1.9,0
Infrastructure,34.8,4.5,2.35,39.9,5,0
Real Estate,61.8,0.4,2.95,9.6,5.6,0
Pharmaceuticals,59.7,9.8,1.59,27.4,7.4,0
Telecommunications,31.5,6.1,4.46,38.2,9.2,1
Consumer Goods,12,15.9,2.81,26.9,-2.8,0
Real Estate,86.6,0.1,3.69,39.3,28.8,1
Metals and Mining,77.1,13.7,0.69,17,24.6,1
Financial Services,41.7,3.7,3.96,2.1,-3,0
Pharmaceuticals,60,12.4,1.08,-2.2,8.3,0
Banking,65.4,4,5.01,23.1,12.8,0
Pharmaceuticals,70.7,13.4,1.84,32.7,9,0
Consumer Services,11.7,7.5,0.7,10.8,28.4,1
Banking,56.2,9.3,0.31,32.3,23.8,1
Automobiles,83.8,5.5,1.43,16.9,20.7,1
Automobiles,7.4,8,1.09,23.1,7.8,1
Infrastructure,28.9,2.5,0.78,26.9,28.6,1
Banking,7.3,5,2.44,34.7,25.8,1
Banking,4.6,1.8,2.81,13.9,15.7,1
Financial Services,10.4,10.4,3.91,23.6,10.4,1
Infrastructure,23.6,13,1.07,-2,14.4,1
Automobiles,80.4,0.1,2.01,18.5,21.4,1
Consumer Services,18.1,13.2,4.43,0.4,25.6,0
Chemicals,35.3,7.6,1,8.1,2.5,0
Metals and Mining,22.9,7.4,3.69,11.3,17.7,0
Consumer Services,15.9,13.5,4.33,16.1,11.7,1
Energy,18.4,0.5,3.91,37.8,0.4,1
Pharmaceuticals,67.1,13.7,1.98,23.2,17.3,0
Metals and Mining,40.4,5.7,1.36,20.7,21.7,1
